,low aeration,medium aeration,high aeration
0,0.78,0.57,0.0
1,0.79,0.62,0.0
2,0.85,0.69,0.0
3,1.17,1.43,0.0
4,1.54,1.49,0.0
5,1.26,1.37,0.0
6,1.67,1.58,1.63
7,1.81,1.89,1.97
8,1.85,2.01,2.03
9,2.27,2.16,4.87
10,2.32,2.31,5.1
11,2.54,2.28,5.03
12,2.98,3.09,5.82
13,3.11,2.86,5.81
14,3.19,2.51,5.17
15,3.88,3.45,6.18
16,3.52,3.07,5.35
17,3.42,3.41,5.87
18,4.03,3.36,6.7
19,3.41,3.61,7.11
20,4.11,3.95,7.05
21,3.64,3.2,6.79
22,3.39,3.49,7.24
23,3.56,3.2,7.12
24,3.8,2.96,7.29
25,3.63,2.94,6.94
26,3.64,3.07,7.22
27,3.44,3.45,7.39
28,3.3,3.36,6.88
29,3.52,3.36,7.04
